key	cs
# COMMON
common.back	ZPET
common.continue	POKRACOVAT
common.cancel	ZRUSIT
common.ok	OK
common.on	ZAP
common.off	VYP
common.na	N/A
common.none	ZADNY
common.versus	V
common.page	STRANA
common.previous_page	PREDCHOZI STRANA
common.next_page	DALSI STRANA
common.no_career_data	ZADNA DATA KARIERY
common.no_squad_data	ZADNA DATA KADRU
common.player_not_available	HRAC NEDOSTUPNY
common.player	HRAC
common.budget	ROZPOCET
common.sort	RADIT
common.sort_by	RADIT PODLE
common.value	HODNOTA
common.skill	SILA
common.age	VEK
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POZ
col.team	TYM
col.name	JMENO
col.number	C
col.number_hash	#
col.p	Z
col.w	V
col.d	R
col.l	P
col.gf	VG
col.ga	IG
col.pts	B
col.skl	DOV
col.skill	SILA
col.pot	POT
col.sta	VYD
col.form	F
col.fit	KON
col.val	HOD
col.nat	NAR
col.club	KLUB
col.price	CENA
col.spec	SPEC
col.quality	K
col.wage	PLAT
col.fee	POPL
col.amount	CASTKA
col.exp	EXP
col.skill_row	PR OD ST HL KO RY ZA
# HOME
home.title	O P E N   S W O S
home.play_match	HRAT ZAPAS
home.competitions	SOUTEZE
home.multiplayer	VICE HRACU
home.team_setup	NASTAVENI TYMU
home.options	MOZNOSTI
home.career	KARIERA
home.exit	KONEC
home.credit	OD GRZEGORZ KORYCKI
home.continue_prefix	POKRACOVAT:
# QUIT
quit.title	KONEC
quit.are_you_sure	URCITE?
quit.quit_to_windows	UKONCIT DO WINDOWS
quit.return_to_game	ZPET DO HRY
# FRIENDLY
friendly.title	PRATELSKY ZAPAS
friendly.home	DOMACI
friendly.away	HOSTE
friendly.swap_teams	PROHODIT TYMY
friendly.pitch	HRISTE
friendly.opponent	SOUPER
friendly.half_length	DELKA POLOCASU
friendly.game_speed	RYCHLOST HRY
friendly.kick_off	VYKOP
friendly.context	PRATELSKY
# VERSUS
versus.play	HRAT
versus.view_result	ZOBRAZIT VYSLEDEK
# STADIUM
stadium.title	TYMY
stadium.kick_off	VYKOP
stadium.edit_lineup	UPRAVIT SESTAVU
# OPTIONS
opt.title	MOZNOSTI
opt.page	STRANA
opt.language	JAZYK
opt.half_length	DELKA POLOCASU
opt.game_speed	RYCHLOST HRY
opt.opponent	SOUPER
opt.pitch	HRISTE
opt.skill_scaling	SKALOVANI SILY
opt.skill_scaling_hint	VERNE SWOS SKALOVANI SILY PODLE CENY
opt.all_teams_equal	VSECHNY TYMY STEJNE
opt.all_teams_equal_hint	SROVNA SILU HRACSKYCH TYMU
opt.pre_match_menus	MENU PRED ZAPASEM
opt.player_fatigue	UNAVA HRACU
opt.energy_bar	UKAZATEL ENERGIE
opt.music	HUDBA
opt.music_hint	AMIGA / PC / VLASTNI HUDBA MENU
opt.sound	ZVUK
opt.sound_hint	PC NEBO AMIGA ZVUKY V ZAPASE
opt.display	ZOBRAZENI
opt.display_hint	F11 PREPINA  ALT+ENTER CELA OBRAZOVKA
# OPTION VALUES
val.pitch_none	(ZADNE)
val.pitch_random	NAHODNE
val.opponent_ai	AI
val.opponent_player2	HRAC 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	VLASTNI
val.music_off	VYP
val.length_whole_match_seconds	%dS REALNE  (CELY ZAPAS)
