key	fi
# COMMON
common.back	TAKAISIN
common.continue	JATKA
common.cancel	PERUUTA
common.ok	OK
common.on	PAALLA
common.off	POIS
common.na	N/A
common.none	EI MITAAN
common.versus	V
common.page	SIVU
common.previous_page	EDELLINEN SIVU
common.next_page	SEURAAVA SIVU
common.no_career_data	EI URATIETOJA
common.no_squad_data	EI JOUKKUETIETOJA
common.player_not_available	PELAAJAA EI SAATAVILLA
common.player	PELAAJA
common.budget	BUDJETTI
common.sort	LAJITTELE
common.sort_by	LAJITTELE
common.value	ARVO
common.skill	TAITO
common.age	IKA
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	SIJ
col.team	JOUKKUE
col.name	NIMI
col.number	NRO
col.number_hash	#
col.p	O
col.w	V
col.d	T
col.l	H
col.gf	TM
col.ga	PM
col.pts	PIS
col.skl	TAI
col.skill	TAITO
col.pot	POT
col.sta	KES
col.form	V
col.fit	KUN
col.val	ARV
col.nat	KAN
col.club	SEURA
col.price	HINTA
col.spec	ERI
col.quality	L
col.wage	PALKKA
col.fee	MAKSU
col.amount	SUMMA
col.exp	VANH
col.skill_row	SY TA LA PU HA NO VI
# HOME
home.title	O P E N   S W O S
home.play_match	PELAA OTTELU
home.competitions	KILPAILUT
home.multiplayer	MONINPELI
home.team_setup	JOUKKUE
home.options	ASETUKSET
home.career	URA
home.exit	POISTU
home.credit	TEKIJA GRZEGORZ KORYCKI
home.continue_prefix	JATKA:
# QUIT
quit.title	LOPETA
quit.are_you_sure	OLETKO VARMA?
quit.quit_to_windows	LOPETA WINDOWSIIN
quit.return_to_game	TAKAISIN PELIIN
# FRIENDLY
friendly.title	HARJOITUSOTTELU
friendly.home	KOTI
friendly.away	VIERAS
friendly.swap_teams	VAIHDA JOUKKUEET
friendly.pitch	KENTTA
friendly.opponent	VASTUSTAJA
friendly.half_length	PUOLIAJAN PITUUS
friendly.game_speed	PELINOPEUS
friendly.kick_off	ALOITA
friendly.context	HARJOITUS
# VERSUS
versus.play	PELAA
versus.view_result	NAYTA TULOS
# STADIUM
stadium.title	JOUKKUEET
stadium.kick_off	ALOITA
stadium.edit_lineup	MUOKKAA KOKOONPANOA
# OPTIONS
opt.title	ASETUKSET
opt.page	SIVU
opt.language	KIELI
opt.half_length	PUOLIAJAN PITUUS
opt.game_speed	PELINOPEUS
opt.opponent	VASTUSTAJA
opt.pitch	KENTTA
opt.skill_scaling	TAITOSKAALAUS
opt.skill_scaling_hint	USKOLLINEN SWOS PELAAJAHINNAN TAITOSKAALAUS
opt.all_teams_equal	KAIKKI TASAVAHVAT
opt.all_teams_equal_hint	TASAA PELAAJAJOUKKUEIDEN VAHVUUDEN
opt.pre_match_menus	OTTELUN ESIVALIKOT
opt.player_fatigue	PELAAJAN VASYMYS
opt.energy_bar	ENERGIAPALKKI
opt.music	MUSIIKKI
opt.music_hint	AMIGA / PC / OMA VALIKKOMUSIIKKI
opt.sound	AANI
opt.sound_hint	PC- TAI AMIGA-OTTELUAANET
opt.display	NAYTTO
opt.display_hint	F11 KIERTAA  ALT+ENTER VAIHTAA KOKORUUDUN
# OPTION VALUES
val.pitch_none	(EI MITAAN)
val.pitch_random	SATUNNAINEN
val.opponent_ai	TEKOALY
val.opponent_player2	PELAAJA 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	OMA
val.music_off	POIS
val.length_whole_match_seconds	%dS TODELL.  (KOKO OTTELU)
val.length_whole_match_minutes	%d MIN TODELL.  (KOKO OTTELU)
val.display_windowed	IKKUNA
