key	pl
# COMMON
common.back	POWROT
common.continue	DALEJ
common.cancel	ANULUJ
common.ok	OK
common.on	WL
common.off	WYL
common.na	N/D
common.none	BRAK
common.versus	V
common.page	STR
common.previous_page	POPRZEDNIA STR
common.next_page	NASTEPNA STR
common.no_career_data	BRAK DANYCH KARIERY
common.no_squad_data	BRAK DANYCH KADRY
common.player_not_available	ZAWODNIK NIEDOSTEPNY
common.player	ZAWODNIK
common.budget	BUDZET
common.sort	SORTUJ
common.sort_by	SORTUJ WG
common.value	WARTOSC
common.skill	UMIEJETNOSC
common.age	WIEK
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POZ
col.team	DRUZYNA
col.name	NAZWA
col.number	NR
col.number_hash	#
col.p	M
col.w	Z
col.d	R
col.l	P
col.gf	BZ
col.ga	BS
col.pts	PKT
col.skl	UMI
col.skill	UMI
col.pot	POT
col.sta	KON
col.form	F
col.fit	SPR
col.val	WAR
col.nat	NAR
col.club	KLUB
col.price	CENA
col.spec	SPEC
col.quality	J
col.wage	PLACA
col.fee	OPLATA
col.amount	KWOTA
col.exp	WYG
col.skill_row	PO OD ST GL KO SZ WY
# HOME
home.title	O P E N   S W O S
home.play_match	ZAGRAJ MECZ
home.competitions	ROZGRYWKI
home.multiplayer	MULTIPLAYER
home.team_setup	USTAW DRUZYNE
home.options	OPCJE
home.career	KARIERA
home.exit	WYJSCIE
home.credit	AUTOR GRZEGORZ KORYCKI
home.continue_prefix	KONTYNUUJ:
# QUIT
quit.title	WYJSCIE
quit.are_you_sure	NA PEWNO?
quit.quit_to_windows	WYJDZ DO WINDOWS
quit.return_to_game	WROC DO GRY
# FRIENDLY
friendly.title	MECZ TOWARZYSKI
friendly.home	DOM
friendly.away	WYJAZD
friendly.swap_teams	ZAMIEN DRUZYNY
friendly.pitch	BOISKO
friendly.opponent	PRZECIWNIK
friendly.half_length	DLUGOSC POLOWY
friendly.game_speed	SZYBKOSC GRY
friendly.kick_off	ROZPOCZNIJ
friendly.context	TOWARZYSKI
# VERSUS
versus.play	GRAJ
versus.view_result	ZOBACZ WYNIK
# STADIUM
stadium.title	SKLADY
stadium.kick_off	ROZPOCZNIJ
stadium.edit_lineup	EDYTUJ SKLAD
# OPTIONS
opt.title	OPCJE
opt.page	STRONA
opt.language	JEZYK
opt.half_length	DLUGOSC POLOWY
opt.game_speed	SZYBKOSC GRY
opt.opponent	PRZECIWNIK
opt.pitch	BOISKO
opt.skill_scaling	SKALOWANIE UMIEJ
opt.skill_scaling_hint	WIERNE SWOS SKALOWANIE UMIEJ WG CENY
opt.all_teams_equal	WSZYSTKIE ROWNE
opt.all_teams_equal_hint	WYROWNUJE SILE DRUZYN GRACZY
opt.pre_match_menus	MENU PRZED MECZEM
opt.player_fatigue	ZMECZENIE
opt.energy_bar	PASEK ENERGII
opt.music	MUZYKA
opt.music_hint	MUZYKA MENU AMIGA / PC / WLASNA
opt.sound	DZWIEK
opt.sound_hint	DZWIEKI MECZU PC LUB AMIGA
opt.display	EKRAN
opt.display_hint	F11 ZMIENIA  ALT+ENTER PELNY EKRAN
# OPTION VALUES
val.pitch_none	(BRAK)
val.pitch_random	LOSOWE
val.opponent_ai	AI
val.opponent_player2	GRACZ 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
