key	pt
# COMMON
common.back	VOLTAR
common.continue	CONTINUAR
common.cancel	CANCELAR
common.ok	OK
common.on	LIG
common.off	DESL
common.na	N/D
common.none	NENHUM
common.versus	V
common.page	PAG
common.previous_page	PAGINA ANTERIOR
common.next_page	PAGINA SEGUINTE
common.no_career_data	SEM DADOS DE CARREIRA
common.no_squad_data	SEM DADOS DE PLANTEL
common.player_not_available	JOGADOR INDISPONIVEL
common.player	JOGADOR
common.budget	ORCAMENTO
common.sort	ORDENAR
common.sort_by	ORDENAR POR
common.value	VALOR
common.skill	NIVEL
common.age	IDADE
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	EQUIPA
col.name	NOME
col.number	NO
col.number_hash	#
col.p	J
col.w	V
col.d	E
col.l	D
col.gf	GM
col.ga	GS
col.pts	PTS
col.skl	NIV
col.skill	NIVEL
col.pot	POT
col.sta	RES
col.form	F
col.fit	FIS
col.val	VAL
col.nat	NAC
col.club	CLUBE
col.price	PRECO
col.spec	ESP
col.quality	Q
col.wage	SAL
col.fee	TAXA
col.amount	VALOR
col.exp	EXP
col.skill_row	PA DE RE CB CO VE FI
# HOME
home.title	O P E N   S W O S
home.play_match	JOGAR PARTIDA
home.competitions	COMPETICOES
home.multiplayer	MULTIJOGADOR
home.team_setup	CONFIG EQUIPA
home.options	OPCOES
home.career	CARREIRA
home.exit	SAIR
home.credit	POR GRZEGORZ KORYCKI
home.continue_prefix	CONTINUAR:
# QUIT
quit.title	SAIR
quit.are_you_sure	TEM A CERTEZA?
quit.quit_to_windows	SAIR PARA O WINDOWS
quit.return_to_game	VOLTAR AO JOGO
# FRIENDLY
friendly.title	PARTIDA AMIGAVEL
friendly.home	CASA
friendly.away	FORA
friendly.swap_teams	TROCAR EQUIPAS
friendly.pitch	CAMPO
friendly.opponent	ADVERSARIO
friendly.half_length	DURACAO PARTE
friendly.game_speed	VELOCIDADE JOGO
friendly.kick_off	INICIAR
friendly.context	AMIGAVEL
# VERSUS
versus.play	JOGAR
versus.view_result	VER RESULTADO
# STADIUM
stadium.title	EQUIPAS
stadium.kick_off	INICIAR
stadium.edit_lineup	EDITAR ONZE
# OPTIONS
opt.title	OPCOES
opt.page	PAG
opt.language	IDIOMA
opt.half_length	DURACAO PARTE
