key	ro
# COMMON
common.back	INAPOI
common.continue	CONTINUA
common.cancel	ANULEAZA
common.ok	OK
common.on	PORNIT
common.off	OPRIT
common.na	N/A
common.none	NIMIC
common.versus	V
common.page	PAG
common.previous_page	PAG ANTERIOARA
common.next_page	PAG URMATOARE
common.no_career_data	FARA DATE CARIERA
common.no_squad_data	FARA DATE LOT
common.player_not_available	JUCATOR INDISPONIBIL
common.player	JUCATOR
common.budget	BUGET
common.sort	SORTARE
common.sort_by	SORTARE DUPA
common.value	VALOARE
common.skill	ABILITATE
common.age	VARSTA
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POZ
col.team	ECHIPA
col.name	NUME
col.number	NR
col.number_hash	#
col.p	J
col.w	V
col.d	E
col.l	I
col.gf	GM
col.ga	GP
col.pts	PCT
col.skl	ABL
col.skill	ABIL
col.pot	POT
col.sta	STA
col.form	F
col.fit	FIZ
col.val	VAL
col.nat	NAT
col.club	CLUB
col.price	PRET
col.spec	SPEC
col.quality	C
col.wage	SAL
col.fee	TAXA
col.amount	SUMA
col.exp	EXP
col.skill_row	PA DE SU CA CO VI FI
# HOME
home.title	O P E N   S W O S
home.play_match	JOACA MECI
home.competitions	COMPETITII
home.multiplayer	MULTIPLAYER
home.team_setup	SETARI ECHIPA
home.options	OPTIUNI
home.career	CARIERA
home.exit	IESIRE
home.credit	DE GRZEGORZ KORYCKI
home.continue_prefix	CONTINUA:
# QUIT
quit.title	IESIRE
quit.are_you_sure	ESTI SIGUR?
quit.quit_to_windows	IESI IN WINDOWS
quit.return_to_game	INAPOI LA JOC
# FRIENDLY
friendly.title	MECI AMICAL
friendly.home	GAZDA
friendly.away	OASPETE
friendly.swap_teams	SCHIMBA ECHIPE
friendly.pitch	TEREN
friendly.opponent	ADVERSAR
friendly.half_length	DURATA REPRIZA
friendly.game_speed	VITEZA JOC
friendly.kick_off	INCEPE MECI
friendly.context	AMICAL
# VERSUS
versus.play	JOACA
versus.view_result	VEZI REZULTAT
# STADIUM
stadium.title	ECHIPE
stadium.kick_off	INCEPE MECI
stadium.edit_lineup	EDIT FORMATIE
# OPTIONS
opt.title	OPTIUNI
opt.page	PAG
opt.language	LIMBA
opt.half_length	DURATA REPRIZA
opt.game_speed	VITEZA JOC
opt.opponent	ADVERSAR
opt.pitch	TEREN
opt.skill_scaling	SCALARE ABIL
opt.skill_scaling_hint	SCALARE FIDELA SWOS PRET-ABILITATE
opt.all_teams_equal	TOATE ECHIPE EGALE
opt.all_teams_equal_hint	EGALIZEAZA FORTA ECHIPELOR JUCATORILOR
opt.pre_match_menus	MENIURI PRE-MECI
opt.player_fatigue	OBOSEALA JUCATOR
opt.energy_bar	BARA ENERGIE
opt.music	MUZICA
opt.music_hint	MUZICA MENIU AMIGA / PC / PERSONALIZAT
opt.sound	SUNET
opt.sound_hint	SUNETE IN MECI PC SAU AMIGA
opt.display	AFISARE
opt.display_hint	F11 CICLEAZA  ALT+ENTER COMUTA ECRAN COMPLET
# OPTION VALUES
val.pitch_none	(NIMIC)
val.pitch_random	ALEATOR
val.opponent_ai	AI
val.opponent_player2	JUCATOR 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	PERSONALIZAT
val.music_off	OPRIT
val.length_whole_match_seconds	%dS REAL  (MECI INTREG)
val.length_whole_match_minutes	%d MIN REAL  (MECI INTREG)
val.display_windowed	FEREASTRA
val.display_full_fill	UMPLE ECRAN
val.display_full_integer	SCARA INTREAGA
# LOCAL MULTIPLAYER
mp.title	MULTIPLAYER LOCAL
mp.controls_hint	JUCATOR 1: SAGETI+SPATIU   JUCATOR 2: WASD+SHIFT
mp.start	INCEPE MECI 2 JUCATORI
# PICKERS
pick.continent	CONTINENT
pick.country	TARA
pick.your_team	ECHIPA TA
pick.all_countries	TOATE TARILE
pick.all	TOATE
pick.select_country	ALEGE TARA
pick.select_continent	ALEGE CONTINENT
pick.select_your_team	ALEGE ECHIPA TA
pick.home_team	ECHIPA GAZDA
pick.away_team	ECHIPA OASPETE
pick.nothing_to_choose	NIMIC DE ALES
pick.item	ELEM
pick.more_down	MAI MULT v
# DRAW CEREMONY
draw.title_suffix	TRAGERE
# PLAY AGAIN
playagain.title	FINAL
playagain.play_again	JOACA DIN NOU
playagain.exit	IESIRE
# COMPETITIONS HUB
comp.title	COMPETITII
comp.new_league	LIGA NOUA
comp.new_cup	CUPA NOUA
comp.new_tournament	TURNEU NOU
comp.preset_competition	COMPETITIE PRESETATA
comp.new_career	CARIERA NOUA
comp.load_game	INCARCA JOC
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	LIGA NOUA
setup.cup_title	CUPA NOUA
setup.tournament_title	TURNEU NOU
setup.size	MARIME
setup.teams_suffix	ECHIPE
setup.entrants	PARTICIPANTI
setup.entrants_same_division	ACEEASI DIVIZIE
setup.entrants_same_nation	ACEEASI TARA
setup.entrants_random	ALEATOR
setup.rounds	TURE
setup.rounds_single	SIMPLU
setup.rounds_double	DUBLU
setup.groups	GRUPE
setup.groups_of_4_suffix	GRUPE DE 4
setup.create_league	CREEAZA LIGA
setup.create_cup	CREEAZA CUPA
setup.create_tournament	CREEAZA TURNEU
# CAREER SETUP
career.title	CARIERA NOUA
