key	sk
# COMMON
common.back	SPAT
common.continue	POKRACOVAT
common.cancel	ZRUSIT
common.ok	OK
common.on	ZAP
common.off	VYP
common.na	N/A
common.none	ZIADNY
common.versus	V
common.page	STRANA
common.previous_page	PREDCH STRANA
common.next_page	DALSIA STRANA
common.no_career_data	ZIADNE DATA KARIERY
common.no_squad_data	ZIADNE DATA KADRA
common.player_not_available	HRAC NEDOSTUPNY
common.player	HRAC
common.budget	ROZPOCET
common.sort	ZORADIT
common.sort_by	ZORADIT PODLA
common.value	HODNOTA
common.skill	UROVEN
common.age	VEK
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POZ
col.team	TIM
col.name	MENO
col.number	C
col.number_hash	#
col.p	Z
col.w	V
col.d	R
col.l	P
col.gf	VG
col.ga	OG
col.pts	B
col.skl	ZR
col.skill	UR
col.pot	POT
col.sta	KON
col.form	F
col.fit	FIT
col.val	HOD
col.nat	NAR
col.club	KLUB
col.price	CENA
col.spec	SPEC
col.quality	K
col.wage	PLAT
col.fee	POPL
col.amount	SUMA
col.exp	EXP
col.skill_row	PR SK ST HL KO RY ZA
# HOME
home.title	O P E N   S W O S
home.play_match	HRAT ZAPAS
home.competitions	SUTAZE
home.multiplayer	VIAC HRACOV
home.team_setup	NASTAVENIE TIMU
home.options	MOZNOSTI
home.career	KARIERA
home.exit	KONIEC
home.credit	OD GRZEGORZ KORYCKI
home.continue_prefix	POKRACOVAT:
# QUIT
quit.title	KONIEC
quit.are_you_sure	STE SI ISTY?
quit.quit_to_windows	UKONCIT DO WINDOWS
quit.return_to_game	SPAT DO HRY
# FRIENDLY
friendly.title	PRIATELSKY ZAPAS
friendly.home	DOMACI
friendly.away	HOSTIA
friendly.swap_teams	VYMENIT TIMY
friendly.pitch	IHRISKO
friendly.opponent	SUPER
friendly.half_length	DLZKA POLCASU
friendly.game_speed	RYCHLOST HRY
friendly.kick_off	VYKOP
friendly.context	PRIATELSKY
# VERSUS
versus.play	HRAT
