key	tr
# COMMON
common.back	GERI
common.continue	DEVAM
common.cancel	IPTAL
common.ok	TAMAM
common.on	ACIK
common.off	KAPALI
common.na	YOK
common.none	HICBIRI
common.versus	V
common.page	SAYFA
common.previous_page	ONCEKI SAYFA
common.next_page	SONRAKI SAYFA
common.no_career_data	KARIYER VERISI YOK
common.no_squad_data	KADRO VERISI YOK
common.player_not_available	OYUNCU MEVCUT DEGIL
common.player	OYUNCU
common.budget	BUTCE
common.sort	SIRALA
common.sort_by	SIRALAMA
common.value	DEGER
common.skill	YETENEK
common.age	YAS
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	SIRA
col.team	TAKIM
col.name	ISIM
col.number	NO
col.number_hash	#
col.p	O
col.w	G
col.d	B
col.l	M
col.gf	AG
col.ga	YG
col.pts	P
col.skl	YET
col.skill	YET
col.pot	POT
col.sta	DAY
col.form	F
col.fit	KON
col.val	DEG
col.nat	UYR
col.club	KULUP
col.price	FIYAT
col.spec	UZM
col.quality	K
col.wage	MAAS
col.fee	UCRET
col.amount	TUTAR
col.exp	SON
col.skill_row	PA MU SU KA KO HI BI
# HOME
home.title	O P E N   S W O S
home.play_match	MAC OYNA
home.competitions	MUSABAKALAR
home.multiplayer	COK OYUNCULU
home.team_setup	TAKIM AYARI
home.options	SECENEKLER
home.career	KARIYER
home.exit	CIKIS
home.credit	YAPAN GRZEGORZ KORYCKI
home.continue_prefix	DEVAM:
# QUIT
quit.title	CIKIS
quit.are_you_sure	EMIN MISINIZ?
quit.quit_to_windows	WINDOWS'A CIK
quit.return_to_game	OYUNA DON
# FRIENDLY
friendly.title	HAZIRLIK MACI
friendly.home	EV SAHIBI
friendly.away	DEPLASMAN
friendly.swap_teams	TAKIMLARI DEGISTIR
friendly.pitch	SAHA
friendly.opponent	RAKIP
friendly.half_length	DEVRE SURESI
friendly.game_speed	OYUN HIZI
friendly.kick_off	BASLAT
friendly.context	HAZIRLIK
# VERSUS
versus.play	OYNA
versus.view_result	SONUCU GOR
